Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
4,-42.8999,203.778,285.268,3291.2,144.562,4301.81,49.182,5195.36,-434.353,6348.23,-1231.11,7183.17,3.087422,4.098032,4.991582,6.144452,6.979392,0.4,0.4,0.4,0,-0.4
5,-44.6116,215.09,284.872,3290.97,144.574,4301.87,47.4562,5193.41,-434.568,6348.59,-1231.01,7183.25,3.07588,4.08678,4.97832,6.1335,6.96816,0.4,0.4,0.4,0,-0.4
6,-41.6566,222.89,285.259,3290.93,144.481,4302.11,47.0128,5191.88,-434.395,6347.98,-1231.17,7182.97,3.06804,4.07922,4.96899,6.12509,6.96008,0.4,0.4,0.4,0,-0.4
7,-42.8084,234.354,285.177,3291.08,144.467,4302.08,46.6814,5191.75,-434.516,6348.26,-1230.95,7182.56,3.056726,4.067726,4.957396,6.113906,6.948206,0.4,0.4,0.4,0,-0.4
8,-43.1085,244.682,285.015,3291.08,144.454,4302.19,45.7505,5192.07,-434.488,6348.43,-1231.15,7183.19,3.046398,4.057508,4.947388,6.103748,6.938508,0.4,0.4,0.4,0,-0.4
9,-43.0546,254.887,285.118,3291.06,144.511,4302.25,45.9048,5192.05,-434.385,6348.38,-1231.03,7183.24,3.036173,GT1Y,4.937163,6.093493,6.928353,0.4,0.4,0.4,0,-0.4
10,-44.6336,266.055,285.034,3291.14,144.526,4302.12,48.5201,5195.25,-434.532,6348.5,-1230.91,7182.77,3.025085,4.036065,4.929195,6.082445,6.916715,0.4,0.4,0.4,0,-0.4
11,-44.023,274.646,285.263,3291.05,144.53,4302.08,45.8,5191.62,-434.398,6348.01,-1231.11,7182.57,3.016404,4.027434,4.916974,6.073364,6.907924,0.4,0.4,0.4,0,-0.4
12,-45.5377,284.838,285.06,3290.92,144.508,4302.23,46.6728,5192.53,-434.442,6348.43,-1230.77,7183.01,3.006082,4.017392,4.907692,6.063592,6.898172,0.4,0.4,0.4,0,-0.4
13,-46.2105,295.089,285.187,3290.94,143.853,4301.71,46.0058,5192.14,-434.385,6348.48,-1231.05,7183.57,2.995851,4.006621,4.897051,6.053391,6.888481,0.4,0.4,0.4,0,-0.4
14,-45.7718,304.599,285.149,3291,144.487,4301.66,45.719,5191.79,-434.546,6348.03,-1231.52,7182.69,2.986401,3.997061,4.887191,6.043431,6.878091,0.4,0.4,0.4,0,-0.4
