Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
4,-9.28184,120.959,285.037,3290.87,144.665,4301.8,47.3032,5193.5,329.749,6437.31,730.593,7359.79,3.169911,4.180841,5.072541,6.316351,7.238831,0.4,0.4,0.4,0.8,1.2
5,-12.6419,131.961,285.34,3290.89,143.995,4301.58,47.5831,5193.35,330.057,6437.01,730.584,7359.86,3.158929,4.169619,5.061389,6.305049,7.227899,0.4,0.4,0.4,0.8,1.2
6,-14.6967,142.817,285.019,3290.87,136.77,4300.65,47.0715,5193.4,329.686,6437.33,730.455,7359.93,3.148053,4.157833,5.050583,6.294513,7.217113,0.4,0.4,0.4,0.8,1.2
7,-15.4809,151.823,285.243,3290.93,144.548,4302.21,47.6183,5193.51,329.993,6437.1,730.64,7359.84,3.139107,4.150387,5.041687,6.285277,7.208017,0.4,0.4,0.4,0.8,1.2
8,-17.1577,163.06,285.301,3290.9,144.216,4301.99,47.613,5193.43,329.959,6437.05,730.543,7359.76,3.12784,4.13893,5.03037,6.27399,7.1967,0.4,0.4,0.4,0.8,1.2
9,-18.3106,174.511,285.032,3291.03,143.259,4301.95,47.213,5193.43,329.738,6437.27,730.487,7359.84,3.116519,4.127439,5.018919,6.262759,7.185329,0.4,0.4,0.4,0.8,1.2
10,-19.9096,186.15,285.278,3290.84,144.554,4302.19,47.4245,5193.32,329.999,6437.03,730.526,7359.89,3.10469,4.11604,5.00717,6.25088,7.17374,0.4,0.4,0.4,0.8,1.2
11,-19.0656,195.079,285.043,3291.07,144.486,4302.17,47.2473,5193.47,329.724,6437.29,730.511,7359.77,3.095991,4.107091,4.998391,6.242211,7.164691,0.4,0.4,0.4,0.8,1.2
12,-18.9381,204.292,285.223,3291.05,144.57,4302.23,47.6063,5193.54,329.985,6437.15,730.685,7359.85,3.086758,4.097938,4.989248,6.232858,7.155558,0.4,0.4,0.4,0.8,1.2
13,-19.491,213.757,285.233,3290.89,144.649,4302.21,47.4368,5193.4,329.979,6437.12,730.574,7359.92,3.077133,4.088453,4.979643,6.223363,7.146163,0.4,0.4,0.4,0.8,1.2
14,-21.5703,224.704,285.108,3290.84,144.595,4302.14,47.3123,5193.49,329.762,6437.29,730.598,7359.84,3.066136,4.077436,4.968786,6.212586,7.135136,0.4,0.4,0.4,0.8,1.2
15,-21.7313,233.372,285.383,3290.66,143.429,4302.11,47.66,5193.43,330.056,6437.01,730.604,7359.84,3.057288,4.068738,4.960058,6.203638,7.126468,0.4,0.4,0.4,0.8,1.2
16,-23.4609,244.753,284.986,3290.94,142.872,4301.96,46.308,5192.29,329.695,6437.24,730.417,7359.84,3.046187,4.057207,4.947537,6.192487,7.115087,0.4,0.4,0.4,0.8,1.2
17,-23.7165,254.313,285.214,3291.02,144.601,4302.21,46.8459,5192.5,329.906,6437.17,730.589,7359.85,3.036707,4.047897,4.938187,6.182857,7.105537,0.4,0.4,0.4,0.8,1.2
18,-23.4696,260.727,285.295,3291.05,144.554,4302.2,46.9364,5192.45,329.984,6437.04,730.59,7359.8,3.030323,4.041473,4.931723,6.176313,7.099073,0.4,0.4,0.4,0.8,1.2
19,-26.0577,275.576,285.003,3290.94,144.56,4302.17,46.5455,5192.46,329.717,6437.28,730.465,7359.83,3.015364,4.026594,4.916884,6.161704,7.084254,0.4,0.4,0.4,0.8,1.2
20,-25.3161,283.645,285.315,3290.98,144.616,4302.22,46.9688,5192.43,330.073,6437.08,730.699,7359.86,3.007335,4.018575,4.908785,6.153435,7.076215,0.4,0.4,0.4,0.8,1.2
21,-27.6089,294.832,285.147,3290.86,144.613,4302.15,46.593,5192.38,329.797,6437.24,730.556,7359.87,2.996028,4.007318,4.897548,6.142408,7.065038,0.4,0.4,0.4,0.8,1.2
22,-27.9125,304.045,285.096,3290.81,144.544,4302.16,46.6384,5192.4,329.844,6437.17,730.517,7359.84,2.986765,3.998115,4.888355,6.133125,7.055795,0.4,0.4,0.4,0.8,1.2
23,-28.4599,313.791,285.233,3291.01,144.618,4302.21,46.8116,5192.39,329.974,6437.1,730.565,7359.85,2.977219,3.988419,4.878599,6.123309,7.046059,0.4,0.4,0.4,0.8,1.2
24,-30.1596,324.853,285.127,3290.77,144.597,4302.19,46.6782,5192.49,329.774,6437.3,730.581,7359.86,2.965917,3.977337,4.867637,6.112447,7.035007,0.4,0.4,0.4,0.8,1.2
25,-28.8103,331.956,285.269,3290.83,144.551,4302.2,46.8236,5192.38,329.997,6437.01,730.527,7359.83,2.958874,3.970244,4.860424,6.105054,7.027874,0.4,0.4,0.4,0.8,1.2
26,-31.4216,344.23,285.111,3290.88,144.559,4302.15,46.6575,5192.43,329.776,6437.16,730.455,7359.81,2.94665,3.95792,4.8482,6.09293,7.01558,0.4,0.4,0.4,0.8,1.2
27,-30.3837,346.953,285.246,3290.81,143.9,4302.03,46.7562,5192.45,329.879,6437.18,730.584,7359.83,2.943857,3.955077,4.845497,6.090227,7.012877,0.4,0.4,0.4,0.8,1.2
28,-30.9775,361.889,285.163,3291.05,143.577,4302.01,46.7302,5192.4,329.951,6437.08,730.525,7359.89,2.929161,3.940121,4.830511,6.075191,6.998001,0.4,0.4,0.4,0.8,1.2
