Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
10,-43.6832,293.294,293.152,3148.61,170.06,4148.12,55.3221,5213.06,-57.9581,6347.34,-277.242,7345.1,2.855316,3.854826,4.919766,6.054046,7.051806,0.3,0.3,0.3,0.3,0.3
11,-45.1466,303.764,293.68,3148.54,170.14,4148.02,55.4218,5213.04,-82.0013,6349.79,-277.531,7345.05,2.844776,3.844256,4.909276,6.046026,7.041286,0.3,0.3,0.3,0.3,0.3
12,-46.7728,313.865,293.853,3148.66,170.21,4148.04,55.3914,5212.98,-82.0345,6349.88,-277.555,7345.19,2.834795,3.834175,4.899115,6.036015,7.031325,0.3,0.3,0.3,0.3,0.3
13,-48.1232,323.749,292.626,3148.72,170.073,4148.22,55.4114,5213.25,-54.4672,6334.31,-277.207,7345.33,2.824971,3.824471,4.889501,6.010561,7.021581,0.3,0.3,0.3,0.3,0.3
14,-48.254,334.261,292.865,3148.77,170.211,4148.11,55.4916,5213.17,-54.1403,6333.96,-277.414,7345.2,2.814509,3.813849,4.878909,5.999699,7.010939,0.3,0.3,0.3,0.3,0.3
15,-50.8146,344.194,293.092,3148.53,170.067,4148,55.3938,5213.13,-54.6213,6333.8,-277.529,7345.06,2.804336,3.803806,4.868936,5.989606,7.000866,0.3,0.3,0.3,0.3,0.3
16,-49.3493,353.398,292.914,3148.67,170.173,4148.08,55.3147,5212.99,-56.4708,6347.22,-277.284,7345.12,2.795272,3.794682,4.859592,5.993822,6.991722,0.3,0.3,0.3,0.3,0.3
17,-49.605,362.156,292.78,3148.67,170.291,4148.15,55.5152,5213.08,-56.6637,6347.28,-277.328,7345.31,2.786514,3.785994,4.850924,5.985124,6.983154,0.3,0.3,0.3,0.3,0.3
18,-51.827,373.12,293.02,3148.63,170.03,4148.02,55.4177,5213.19,-57.9741,6346.97,-277.555,7345.14,2.77551,3.7749,4.84007,5.97385,6.97202,0.3,0.3,0.3,0.3,0.3
19,-52.6986,382.351,293.057,3148.62,170.184,4148.06,55.4382,5213.09,-59.1093,6347.4,-277.441,7345.14,2.766269,3.765709,4.830739,5.965049,6.962789,0.3,0.3,0.3,0.3,0.3
20,-54.2927,392.19,292.653,3148.67,170.128,4148.19,55.5065,5213.25,-57.5655,6347.37,-277.267,7345.27,2.75648,3.756,4.82106,5.95518,6.95308,0.3,0.3,0.3,0.3,0.3
21,-54.8594,402.13,292.918,3148.74,170.111,4148.11,55.4809,5213.18,-58.0421,6347.01,-277.358,7345.12,2.74661,3.74598,4.81105,5.94488,6.94299,0.3,0.3,0.3,0.3,0.3
22,-55.7147,412.017,293.05,3148.45,170.154,4147.95,55.3703,5212.9,-56.4642,6346.83,-277.623,7344.98,2.736433,3.735933,4.800883,5.934813,6.932963,0.3,0.3,0.3,0.3,0.3
