Objects
100
,,Global Angle husky-radar:husky-radar,,,,,,Global Angle reflector1:reflector1,,,,,,Global Angle reflector2:reflector2,,,,,,Global Angle reflector3:reflector3,,,,,,Global Angle reflector4:reflector4,,,,,,Global Angle reflector5:reflector5,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.121773,0.031326,3.36343,28.9856,16.5995,565.139,-0.00299334,-0.00147953,2.8182e-05,-587.323,2599.68,117.449,0.129054,0.0317211,3.41644,-792.776,3764.15,140.986,0.141958,0.0555773,3.39978,-899.53,4838.51,129.409,0.114006,0.0502441,3.30984,-941.72,5924.53,131.692,0.00820896,0.00107297,0.00708637,-1009.18,7099.23,60.1998
2,0,0.100948,0.0598866,3.36707,27.8544,17.4075,566.557,-0.00297831,-0.00146318,0.000138914,-587.335,2599.68,117.441,0.129204,0.0316455,3.41649,-792.766,3764.13,140.973,0.138537,0.0532003,3.39871,-899.821,4838.85,129.482,0.11386,0.0519175,3.30847,-941.84,5924.53,131.775,0.0159138,-0.000385077,0.00861856,-1009.16,7099.27,60.2131
3,0,0.121731,0.0279455,3.36277,28.1502,17.0419,565.525,-0.00297622,-0.00130441,0.000324386,-587.325,2599.69,117.422,0.129094,0.0315833,3.4165,-792.728,3764.12,140.972,0.137434,0.0524926,3.39893,-899.577,4838.75,129.505,0.11398,0.0520533,3.30825,-941.857,5924.51,131.784,0.0173307,-0.000470955,0.00896337,-1009.11,7099.34,60.2157
4,0,0.122001,0.0327619,3.36315,29.7177,16.3342,564.826,-0.00600009,-0.000397356,-0.00139777,-587.675,2599.43,117.897,0.129092,0.0314377,3.41653,-792.712,3764.11,140.958,0.139188,0.0533656,3.3992,-899.1,4838.35,129.457,0.113793,0.0503291,3.30974,-941.743,5924.5,131.699,0.0176376,-0.000398974,0.00900578,-1009.12,7099.33,60.2195
5,0,0.121898,0.0309108,3.3632,30.2579,16.0434,564.546,-0.00613119,-0.000936666,-0.00115444,-587.653,2599.45,117.882,0.129188,0.0317152,3.41653,-792.745,3764.11,140.963,0.140004,0.0540705,3.39927,-898.971,4838.19,129.413,0.114155,0.0504978,3.30945,-941.656,5924.5,131.649,0.0182788,-0.000424903,0.00889247,-1009.16,7099.32,60.2159
6,0,0.146247,-0.000918571,3.35207,29.0618,15.8897,564.006,-0.00605673,0.000215099,-0.00150752,-587.764,2599.4,117.918,0.129097,0.0318445,3.41654,-792.797,3764.08,140.977,0.139916,0.0537607,3.39941,-899.413,4838.43,129.411,0.114246,0.0523521,3.30787,-941.699,5924.53,131.706,0.018244,-0.000215976,0.00931049,-1009.21,7099.32,60.2194
7,0,0.123615,0.0267521,3.36364,26.8919,15.544,564.542,-0.00295603,-0.00133863,0.000100285,-587.387,2599.67,117.44,0.128931,0.0318643,3.41653,-792.808,3764.07,140.987,0.148996,0.0609896,3.40006,-900.264,4838.63,129.164,0.114118,0.0510402,3.30922,-941.412,5924.59,131.523,0.01757,-0.000401511,0.00898825,-1009.21,7099.31,60.2315
8,0,0.123434,0.0246257,3.36296,26.9386,15.4293,564.485,-0.00275349,-0.000941466,0.000184538,-587.358,2599.68,117.446,0.128903,0.0318213,3.41651,-792.752,3764.08,140.991,0.149136,0.0610913,3.40007,-900.206,4838.68,129.173,0.114226,0.0508715,3.30914,-941.406,5924.6,131.507,0.0159242,-0.00030587,0.00907956,-1009.18,7099.34,60.2289
9,0,0.135328,0.00816701,3.36269,28.4307,14.6153,563.355,-0.0059004,0.000395084,-0.00161827,-587.689,2599.39,117.966,0.128966,0.0316107,3.41636,-792.669,3764.11,140.98,0.14673,0.058888,3.40014,-899.506,4838.47,129.299,0.114456,0.0506565,3.30938,-941.56,5924.59,131.597,0.0152877,-0.000248012,0.00943675,-1009.13,7099.33,60.2358
