Frame,radarX,radarY,RX,RY,RX,RY,RX,RY,RX,RY,RX,RY
1,24.0849,-0.238175,-587.363,2599.65,-770.56,3750.14,-847.8,3779.37,-941.982,5924.53,-1009.07,7099.12
2,25.3303,-0.898191,-587.723,2599.34,-775.56,3755,-847.597,3779.17,-942.014,5924.45,-1009.07,7099.15
3,25.9739,-1.32336,-587.631,2599.37,-780.56,3760,-847.283,3778.98,-941.727,5924.38,-1009.07,7099.13
4,25.4933,-1.16832,-587.612,2599.4,-794.27,3763.02,-899.239,4838.42,-941.391,5924.38,-1009.07,7099.12
5,24.3032,-0.548085,-587.722,2599.4,-794.255,3763.01,-899.98,4838.53,-941.149,5924.38,-1009.06,7099.16
6,24.1138,-0.353575,-587.781,2599.38,-794.294,3763.06,-899.603,4838.71,-941.303,5924.39,-1009.08,7099.29
7,25.1964,-0.801479,-587.713,2599.35,-792.762,3764.09,-899.358,4838.47,-941.717,5924.38,-1009.19,7099.3
8,25.8808,-1.20393,-587.666,2599.34,-792.81,3764.09,-899.103,4838.28,-942.127,5924.34,-1009.23,7099.27
9,25.6255,-1.16255,-587.684,2599.34,-792.769,3764.06,-899.162,4838.35,-942.27,5924.34,-1009.22,7099.24
10,-818.372,3723.13,-587.76,2599.35,-792.682,3764.05,-899.505,4838.63,-946.773,5943.85,-1009.18,7099.24
11,-819.615,3721.06,-587.75,2599.39,-792.606,3764.1,-899.579,4838.82,-946.689,5944.31,-1009.11,7099.31
12,-818.892,3722.61,-587.657,2599.42,-792.591,3764.17,-899.647,4838.58,-946.689,5940.31,-1009.07,7099.38
13,25.9279,-1.20067,-587.593,2599.44,-792.66,3764.21,-899.521,4838.29,-629.325,2609.76,-1009.1,7099.47
14,25.989,-1.21193,-587.635,2599.41,-792.745,3764.19,-899.072,4838.37,-629.235,2609.67,-1009.14,7099.45
15,25.2025,-0.899604,-587.747,2599.37,-792.795,3764.12,-899.836,4838.43,-629.723,2609.83,-1009.17,7099.44
16,23.9883,-0.343606,-587.304,2599.65,-792.763,3764.09,-899.975,4838.67,-933.187,5928.38,-1009.17,7099.38
17,23.9782,-0.355387,-587.269,2599.67,-792.725,3764.09,-900.032,4838.57,-933.121,5928.32,-1009.13,7099.34
18,25.1771,-0.862407,-587.627,2599.44,-792.675,3764.13,-899.302,4838.43,-932.207,5927.89,-1009.11,7099.36
19,25.9151,-1.04501,-587.594,2599.45,-792.697,3764.18,-899.254,4838.21,-932.048,5927.74,-1009.09,7099.39
20,25.3512,-0.48177,-587.642,2599.42,-792.734,3764.16,-899.204,4838.46,-932.16,5927.89,-1009.1,7099.38
21,24.1078,0.61192,-587.787,2599.37,-792.758,3764.09,-899.527,4838.67,-932.356,5928.09,-1009.14,7099.31
22,23.9906,1.79191,-587.322,2599.64,-792.766,3764.05,-899.69,4838.69,-932.397,5928.12,-1009.16,7099.24
23,25.1788,0.512807,-587.307,2599.65,-792.74,3764.05,-899.375,4838.49,-932.254,5927.92,-1009.2,7099.2
24,26.4665,2.16161,-587.627,2599.38,-792.693,3764.07,-899.07,4838.27,-932.072,5927.73,-1009.19,7099.23
25,26.9247,4.82244,-587.64,2599.39,-792.698,3764.08,-899.134,4838.32,-932.114,5927.78,-1009.18,7099.27
26,26.5817,9.79765,-587.752,2599.36,-792.736,3764.08,-899.602,4838.51,-932.338,5928.02,-1009.14,7099.28
27,25.7069,14.5308,-587.822,2599.35,-792.735,3764.07,-899.687,4838.72,-932.418,5928.16,-1009.13,7099.3
28,26.2483,19.1698,-587.755,2599.34,-792.711,3764.09,-899.442,4838.64,-932.285,5928.07,-1009.12,7099.32
29,27.2284,24.0325,-587.613,2599.39,-792.669,3764.14,-899.092,4838.44,-932.05,5927.87,-1009.13,7099.34
30,27.2139,28.6658,-587.581,2599.42,-792.635,3764.17,-899.265,4838.3,-932.047,5927.85,-1009.12,7099.41
31,51.6551,38.068,-587.651,2599.43,-792.64,3764.18,-899.339,4838.54,-932.21,5928.01,-1009.11,7099.44
32,50.4678,44.1565,-587.756,2599.42,-792.677,3764.17,-899.564,4838.75,-932.36,5928.16,-1009.12,7099.49
33,50.2835,50.1835,-587.772,2599.4,-792.705,3764.13,-899.596,4838.71,-932.336,5928.13,-1009.08,7099.45
34,26.945,56.0687,-587.66,2599.4,-792.704,3764.11,-899.238,4838.5,-932.192,5927.93,-1009.1,7099.41
35,27.6549,62.5119,-587.606,2599.39,-792.706,3764.12,-899.053,4838.34,-932.004,5927.78,-1009.13,7099.41
36,27.6894,68.9511,-587.635,2599.37,-792.7,3764.15,-899.197,4838.49,-932.091,5927.9,-1009.16,7099.4
37,26.2994,75.908,-587.279,2599.68,-792.723,3764.14,-899.505,4838.73,-932.322,5928.11,-1009.18,7099.39
38,25.7841,81.8172,-587.304,2599.66,-792.763,3764.1,-899.678,4838.72,-932.432,5928.14,-1009.18,7099.36
