Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,DiffX5,DiffY5
10,-43.6832,293.294,293.152,3148.61,170.06,4148.12,55.3221,5213.06,-57.9581,6347.34,-277.242,7345.1,7388.7832,-570.536
11,-45.1466,303.764,293.68,3148.54,170.14,4148.02,55.4218,5213.04,-82.0013,6349.79,-277.531,7345.05,7390.1966,-581.295
12,-46.7728,313.865,293.853,3148.66,170.21,4148.04,55.3914,5212.98,-82.0345,6349.88,-277.555,7345.19,7391.9628,-591.42
13,-48.1232,323.749,292.626,3148.72,170.073,4148.22,55.4114,5213.25,-54.4672,6334.31,-277.207,7345.33,7393.4532,-600.956
14,-48.254,334.261,292.865,3148.77,170.211,4148.11,55.4916,5213.17,-54.1403,6333.96,-277.414,7345.2,7393.454,-611.675
15,-50.8146,344.194,293.092,3148.53,170.067,4148,55.3938,5213.13,-54.6213,6333.8,-277.529,7345.06,7395.8746,-621.723
16,-49.3493,353.398,292.914,3148.67,170.173,4148.08,55.3147,5212.99,-56.4708,6347.22,-277.284,7345.12,7394.4693,-630.682
17,-49.605,362.156,292.78,3148.67,170.291,4148.15,55.5152,5213.08,-56.6637,6347.28,-277.328,7345.31,7394.915,-639.484
18,-51.827,373.12,293.02,3148.63,170.03,4148.02,55.4177,5213.19,-57.9741,6346.97,-277.555,7345.14,7396.967,-650.675
19,-52.6986,382.351,293.057,3148.62,170.184,4148.06,55.4382,5213.09,-59.1093,6347.4,-277.441,7345.14,7397.8386,-659.792
20,-54.2927,392.19,292.653,3148.67,170.128,4148.19,55.5065,5213.25,-57.5655,6347.37,-277.267,7345.27,7399.5627,-669.457
21,-54.8594,402.13,292.918,3148.74,170.111,4148.11,55.4809,5213.18,-58.0421,6347.01,-277.358,7345.12,7399.9794,-679.488
22,-55.7147,412.017,293.05,3148.45,170.154,4147.95,55.3703,5212.9,-56.4642,6346.83,-277.623,7344.98,7400.6947,-689.64
23,-58.0066,422.559,292.724,3148.76,170.064,4148.12,55.335,5213.11,-58.3467,6347.79,-277.327,7345.12,7403.1266,-699.886
24,-59.4112,432.887,292.705,3149.21,170.311,4148.25,55.6146,5213.24,-57.052,6347.32,-276.66,7345.46,7404.8712,-709.547
25,-61.2416,443.288,292.49,3148.96,170.089,4148.09,55.366,5213.1,-58.4143,6347.31,-277.927,7348.84,7410.0816,-721.215
26,-62.8049,453.576,292.875,3148.59,169.997,4148.01,55.2826,5213.04,-58.5391,6347.32,-277.969,7348.72,7411.5249,-731.545
27,-62.9506,462.427,292.926,3148.79,170.358,4148.14,55.7139,5213.15,-57.0966,6347.19,-277.275,7349,7411.9506,-739.702
28,-64.6761,473.074,292.956,3148.63,170.113,4148.11,55.4218,5213.15,-57.0617,6347.18,-277.802,7348.91,7413.5861,-750.876
29,-65.6227,483.557,292.957,3148.41,170.062,4147.96,55.2592,5212.92,-58.4986,6347.11,-278.118,7348.71,7414.3327,-761.675
30,-67.4266,493.44,292.8,3148.71,170.186,4148.06,55.5246,5213.16,-57.2674,6347.19,-277.843,7348.76,7416.1866,-771.283
31,-72.3073,504.186,292.74,3148.93,170.151,4148.25,55.5994,5213.4,-58.8873,6347.75,-277.476,7348.93,7421.2373,-781.662
32,-71.8702,514.506,292.525,3148.96,170.174,4148.1,55.3136,5213.03,-57.8458,6347.59,-277.864,7348.91,7420.7802,-792.37
33,-73.1169,524.471,292.936,3148.59,170.073,4147.97,55.3137,5213.05,-58.4693,6347.2,-277.94,7348.53,7421.6469,-802.411
34,-72.7383,532.94,292.821,3148.64,170.292,4148.13,55.5805,5213.26,-57.1977,6347.24,-277.535,7348.72,7421.4583,-810.475
35,-73.3913,542.866,292.918,3148.64,170.18,4148.23,55.3527,5213.15,-58.1354,6347.35,-277.802,7349.2,7422.5913,-820.668
36,-75.1113,553.503,292.884,3148.48,169.897,4148,55.1961,5213.05,-58.7845,6347.47,-277.858,7348.5,7423.6113,-831.361
37,-75.9518,563.229,292.967,3148.79,170.291,4148.02,55.6017,5213.17,-57.0883,6347.08,-277.338,7348.79,7424.7418,-840.567
38,-77.9649,573.225,292.536,3149.1,170.193,4148.23,55.5266,5213.29,-57.2148,6347.34,-277.707,7349.19,7427.1549,-850.932
39,-79.771,583.17,292.95,3148.45,170.093,4148.04,55.2344,5212.95,-58.591,6347.23,-277.954,7348.85,7428.621,-861.124
40,-80.2462,593.084,293.133,3148.66,170.223,4147.95,55.519,5213.07,-58.3347,6347.05,-277.608,7348.56,7428.8062,-870.692
41,-81.8138,603.186,292.658,3148.72,170.085,4148.18,55.5096,5213.27,-57.8193,6347.43,-277.751,7348.94,7430.7538,-880.937
42,-81.9661,612.6,292.891,3148.64,170.194,4148.23,55.3661,5213.14,-58.2536,6347.39,-277.661,7349.18,7431.1461,-890.261
43,-85.5882,623.907,293.12,3148.63,170.123,4147.98,55.4669,5213.14,-59.226,6347.4,-277.764,7348.48,7434.0682,-901.671
44,-87.1729,633.759,292.798,3148.68,170.129,4148.04,55.4778,5213.18,-57.2988,6347.17,-277.85,7348.65,7435.8229,-911.609
45,-88.5363,643.066,292.823,3148.72,170.218,4148.22,55.4427,5213.06,-57.1759,6347.18,-277.621,7349.07,7437.6063,-920.687
46,-90.3066,652.841,292.997,3148.53,170.029,4148.06,55.3212,5213.05,-58.4561,6347.33,-277.87,7348.84,7439.1466,-930.711
47,-91.1446,662.559,293.018,3148.68,170.136,4147.95,55.5108,5213.08,-58.2165,6347.12,-278.03,7348.51,7439.6546,-940.589
48,-92.5696,673.042,292.708,3148.77,170.184,4148.18,55.4603,5213.19,-57.6271,6347.35,-277.579,7348.84,7441.4096,-950.621
49,-93.7146,683.199,292.982,3148.67,170.155,4148.23,55.5116,5213.28,-58.1137,6347.43,-277.655,7349.03,7442.7446,-960.854
50,-94.6189,693.108,293.196,3148.54,170.26,4147.98,55.5769,5213.04,-58.047,6347.09,-277.614,7348.7,7443.3189,-970.722
51,-96.6078,703.818,292.674,3148.56,170.082,4147.99,55.3587,5213.09,-57.6796,6347.24,-277.89,7348.67,7445.2778,-981.708
52,-100.761,716.42,292.803,3148.78,170.141,4148.19,55.3676,5213.2,-57.1134,6347.29,-277.686,7349.06,7449.821,-994.106
53,-101.534,725.851,293.128,3148.64,170.163,4148.08,55.468,5213.17,-58.1656,6347.3,-277.845,7348.95,7450.484,-1003.696
54,-103.279,737.399,292.535,3148.95,170.069,4148,55.4452,5213.15,-57.4595,6347.2,-277.884,7348.63,7451.909,-1015.283
55,-104.403,747.697,292.771,3148.76,170.238,4148.13,55.3886,5212.97,-57.2525,6347.18,-277.654,7348.81,7453.213,-1025.351
56,-105.51,757.781,293.06,3148.66,170.172,4148.16,55.4952,5213.24,-56.3394,6347.1,-277.797,7349.08,7454.59,-1035.578
57,-106.958,768.922,293.013,3148.54,170.134,4147.99,55.4986,5213.09,-58.4118,6347.23,-277.801,7348.53,7455.488,-1046.723
58,-107.785,778.978,292.705,3148.53,170.149,4148.03,55.3622,5213.07,-57.5377,6347.19,-277.994,7348.77,7456.555,-1056.972
59,-110.238,789.583,292.9,3148.68,170.036,4148.14,55.3796,5213.24,-58.3759,6347.18,-277.856,7349.02,7459.258,-1067.439
60,-110.829,798.801,293.164,3148.65,170.251,4148.08,55.5839,5213.18,-57.9567,6347.24,-277.371,7348.83,7459.659,-1076.172
61,-111.204,807.873,293.171,3148.97,170.18,4148.07,55.4788,5213.14,-57.3629,6347.2,-277.804,7348.72,7459.924,-1085.677
62,-113.431,819.231,293.074,3148.98,170.109,4148.09,55.4147,5213.19,-57.3138,6347.23,-277.899,7348.93,7462.361,-1097.13
63,-113.491,827.747,293.821,3148.63,170.216,4148.12,55.51,5213.19,-58.0328,6347.28,-277.684,7348.97,7462.461,-1105.431
64,-115.734,838.63,292.871,3148.58,170.006,4148.06,55.3028,5213.1,-58.5147,6347.38,-277.938,7348.81,7464.544,-1116.568
65,-117.19,848.124,292.752,3148.57,170.143,4148.02,55.4379,5213.09,-57.4727,6347.17,-277.971,7348.7,7465.89,-1126.095
66,-120.486,859.41,293.132,3148.68,170.252,4148.14,55.5015,5213.19,-58.0298,6347.29,-277.483,7349,7469.486,-1136.893
67,-121.075,868.692,293.027,3148.67,170.129,4148.14,55.4735,5213.22,-58.1226,6347.38,-277.744,7348.88,7469.955,-1146.436
68,-121.472,877.547,292.782,3148.6,170.236,4148.1,55.3919,5213,-57.3128,6347.18,-277.857,7348.74,7470.212,-1155.404
69,-123.316,887.836,292.84,3148.68,170.034,4148.07,55.3678,5213.13,-57.2894,6347.22,-277.874,7348.69,7472.006,-1165.71
70,-124.566,897.276,293.005,3148.57,170.127,4148.09,55.4019,5213.12,-58.3202,6347.32,-277.814,7348.95,7473.516,-1175.09
71,-126.382,908.492,292.967,3148.74,170.227,4148.08,55.4792,5213.11,-58.119,6347.26,-277.792,7348.93,7475.312,-1186.284
72,-128.542,919.99,292.734,3148.62,170.118,4148.04,55.3807,5213.06,-57.5639,6347.26,-277.92,7348.66,7477.202,-1197.91
73,-128.275,924.213,293.096,3148.68,170.221,4148.09,55.5572,5213.15,-57.9544,6347.19,-277.86,7348.84,7477.115,-1202.073
74,-130.666,938.535,292.931,3148.7,170.125,4148.16,55.4028,5213.2,-58.1884,6347.41,-277.624,7348.9,7479.566,-1216.159
75,-131.64,949.383,292.692,3148.61,170.101,4148.08,55.3887,5213.07,-57.563,6347.27,-277.842,7348.68,7480.32,-1227.225
76,-132.71,959.219,292.984,3148.53,170.18,4148.06,55.4272,5213.04,-58.3014,6347.16,-277.994,7348.82,7481.53,-1237.213
77,-134.135,967.709,292.779,3149.38,170.102,4148.16,55.4238,5213.19,-58.1848,6347.36,-277.788,7348.96,7483.095,-1245.497
78,-134.923,978.847,292.652,3149.07,170.291,4148.14,55.5352,5213.11,-56.9767,6347.22,-277.675,7348.97,7483.893,-1256.522
79,-137.286,989.181,292.763,3148.69,170.127,4148.04,55.527,5213.2,-57.2857,6347.23,-277.707,7348.89,7486.176,-1266.888
80,-138.76,998.116,292.922,3148.62,170.032,4148.08,55.2398,5213.02,-58.354,6347.32,-277.833,7348.74,7487.5,-1275.949
81,-139.994,1008.38,292.934,3148.64,170.194,4148.12,55.4245,5213.08,-58.1619,6347.27,-277.847,7349.01,7489.004,-1286.227
82,-140.982,1019.16,292.596,3148.96,170.118,4148.05,55.4517,5213.1,-57.693,6347.27,-278.009,7348.84,7489.822,-1297.169
83,-142.216,1028.73,293.104,3148.58,170.233,4148.06,55.503,5213.09,-58.1488,6347.16,-277.961,7348.71,7490.926,-1306.691
84,-143.784,1037.39,293.049,3148.57,170.154,4148.11,55.3451,5213.02,-56.6107,6347.09,-277.867,7349.03,7492.814,-1315.257
85,-145.95,1049.02,292.748,3148.79,170.141,4148.15,55.5409,5213.32,-57.1233,6347.38,-277.744,7348.96,7494.91,-1326.764
86,-146.83,1058.73,292.688,3149.03,170.254,4148.12,55.6141,5213.2,-57.2186,6347.19,-277.582,7348.97,7495.8,-1336.312
87,-148.584,1068.55,292.822,3148.47,169.965,4148.02,55.1094,5212.97,-58.7131,6347.28,-277.974,7348.85,7497.434,-1346.524
88,-149.023,1078.44,293.023,3148.73,170.218,4148.08,55.4804,5213.1,-57.0789,6347.11,-277.792,7348.85,7497.873,-1356.232
89,-150.417,1089.2,292.878,3148.78,170.29,4148.15,55.6674,5213.25,-59.0991,6347.34,-277.653,7348.88,7499.297,-1366.853
90,-152.869,1099.54,292.845,3148.5,169.958,4148.05,55.1729,5213.03,-58.9176,6347.46,-278.04,7348.87,7501.739,-1377.58
91,-153.94,1108.62,293.131,3148.62,170.168,4148.07,55.4658,5213.13,-58.0455,6347.23,-277.851,7348.79,7502.73,-1386.471
92,-154.601,1117.22,292.863,3148.87,170.239,4148.15,55.5556,5213.27,-57.2083,6347.38,-277.554,7348.82,7503.421,-1394.774
93,-155.868,1127.56,292.491,3148.86,170.118,4148.04,55.2813,5212.98,-58.315,6347.09,-277.419,7348.83,7504.698,-1404.979
94,-157.796,1138.85,293.017,3148.45,170.145,4148.02,55.3148,5212.89,-58.3361,6347.13,-278.061,7348.82,7506.616,-1416.911
95,-159.361,1148.38,293.07,3148.8,170.188,4148.13,55.5893,5213.27,-58.0595,6347.36,-277.385,7348.87,7508.231,-1425.765
96,-160.985,1158.89,292.742,3148.78,170.236,4148.17,55.4526,5213.11,-57.2726,6347.31,-277.716,7349.01,7509.995,-1436.606
97,-162.914,1167.81,292.944,3148.61,170.041,4148.11,55.3343,5213.1,-58.2747,6347.32,-277.845,7348.79,7511.704,-1445.655
98,-164.06,1177.79,293.111,3148.65,170.156,4148.05,55.4886,5213.15,-58.1011,6347.24,-277.343,7348.67,7512.73,-1455.133
99,-165.576,1187.77,292.746,3148.58,170.248,4148.09,55.4267,5213.08,-57.5272,6347.18,-277.725,7348.88,7514.456,-1465.495
100,-167.207,1197.36,292.418,3148.94,170.055,4148.12,55.2425,5213.03,-57.5199,6347.23,-277.871,7348.89,7516.097,-1475.231
101,-168.827,1207.96,293.114,3148.61,170.168,4148.01,55.5214,5213.14,-59.8296,6347.48,-277.845,7348.6,7517.427,-1485.805
102,-170.13,1217.72,292.971,3148.77,170.179,4148.17,55.4963,5213.17,-59.541,6347.23,-277.659,7348.79,7518.92,-1495.379
103,-171.887,1227.85,292.487,3149.06,170.137,4148.23,55.432,5213.21,-57.263,6347.36,-277.78,7349.12,7521.007,-1505.63
